Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,5.91,169.31,0.7187,0,19,0,48,0.0,0.0,0.0,0.7164,67
SSD,13.09,76.37,0.5887,0,0,0,67,0.0,0.0,0.0,1.0,67
Faster R-CNN,0.65,1540.08,0.888,0,0,0,67,0.0,0.0,0.0,1.0,67
RetinaNet,0.61,1630.18,0.7889,0,14,0,53,0.0,0.0,0.0,0.791,67
FCOS,0.67,1488.59,0.7142,0,14,0,53,0.0,0.0,0.0,0.791,67
EfficientDet,6.19,161.58,0.6171,0,0,0,67,0.0,0.0,0.0,1.0,67
DETR,1.0,1000.39,0.8886,0,15,0,52,0.0,0.0,0.0,0.7761,67
RT-DETR,1.83,547.91,0.8134,0,12,0,55,0.0,0.0,0.0,0.8209,67
Conditional DETR,0.97,1034.82,0.7503,0,13,0,54,0.0,0.0,0.0,0.806,67
Deformable DETR,0.24,4135.68,0.7501,0,11,0,56,0.0,0.0,0.0,0.8358,67
