Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,8.74,114.41,0.8072,0,0,0,31,0.0,0.0,0.0,1.0,31
SSD,16.43,60.88,0.7583,0,0,0,31,0.0,0.0,0.0,1.0,31
Faster R-CNN,0.62,1617.76,0.8965,0,0,0,31,0.0,0.0,0.0,1.0,31
RetinaNet,0.64,1568.77,0.8374,0,0,0,31,0.0,0.0,0.0,1.0,31
FCOS,0.69,1453.42,0.7395,0,0,0,31,0.0,0.0,0.0,1.0,31
EfficientDet,6.47,154.63,0.6778,0,0,0,31,0.0,0.0,0.0,1.0,31
DETR,1.06,944.81,0.8348,0,0,0,31,0.0,0.0,0.0,1.0,31
RT-DETR,2.07,482.67,0.8561,0,0,0,31,0.0,0.0,0.0,1.0,31
Conditional DETR,0.94,1061.65,0.8144,0,0,0,31,0.0,0.0,0.0,1.0,31
Deformable DETR,0.24,4213.24,0.8023,0,0,0,31,0.0,0.0,0.0,1.0,31
