Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,9.15,109.34,0.7742,125,0,63,12,1.0,0.6649,0.7987,0.685,200
SSD,17.75,56.35,0.9024,107,0,81,12,1.0,0.5691,0.7254,0.595,200
Faster R-CNN,0.59,1701.44,0.9087,152,0,36,12,1.0,0.8085,0.8941,0.82,200
RetinaNet,0.6,1660.73,0.7995,152,0,36,12,1.0,0.8085,0.8941,0.82,200
FCOS,0.7,1429.88,0.7062,152,0,36,12,1.0,0.8085,0.8941,0.82,200
EfficientDet,6.58,151.87,0.7035,105,0,83,12,1.0,0.5585,0.7167,0.585,200
DETR,0.98,1020.51,0.9067,137,0,51,12,1.0,0.7287,0.8431,0.745,200
RT-DETR,1.98,504.33,0.8552,127,0,61,12,1.0,0.6755,0.8063,0.695,200
Conditional DETR,0.93,1074.31,0.7593,147,0,41,12,1.0,0.7819,0.8776,0.795,200
Deformable DETR,0.23,4280.51,0.8041,121,0,67,12,1.0,0.6436,0.7832,0.665,200
