Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,5.62,177.96,0.677,0,0,0,46,0.0,0.0,0.0,1.0,46
SSD,12.27,81.51,0.6921,0,0,0,46,0.0,0.0,0.0,1.0,46
Faster R-CNN,0.56,1780.14,0.9224,0,0,0,46,0.0,0.0,0.0,1.0,46
RetinaNet,0.59,1681.08,0.7303,0,0,0,46,0.0,0.0,0.0,1.0,46
FCOS,0.65,1527.5,0.6404,0,0,0,46,0.0,0.0,0.0,1.0,46
EfficientDet,6.16,162.29,0.6203,0,0,0,46,0.0,0.0,0.0,1.0,46
DETR,1.01,992.53,0.9136,0,0,0,46,0.0,0.0,0.0,1.0,46
RT-DETR,1.79,557.27,0.6225,0,0,0,46,0.0,0.0,0.0,1.0,46
Conditional DETR,0.97,1032.37,0.5751,0,0,0,46,0.0,0.0,0.0,1.0,46
Deformable DETR,0.24,4153.56,0.5564,0,0,0,46,0.0,0.0,0.0,1.0,46
