Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,5.73,174.52,0.7631,6,0,92,45,1.0,0.0612,0.1154,0.3566,143
SSD,14.14,70.74,0.809,0,0,98,45,0.0,0.0,0.0,0.3147,143
Faster R-CNN,0.6,1657.62,0.892,12,24,86,21,0.3333,0.1224,0.1791,0.2308,143
RetinaNet,0.64,1573.99,0.7594,0,11,98,34,0.0,0.0,0.0,0.2378,143
FCOS,0.71,1399.56,0.683,18,3,80,42,0.8571,0.1837,0.3025,0.4196,143
EfficientDet,6.58,152.04,0.6217,0,0,98,45,0.0,0.0,0.0,0.3147,143
DETR,1.08,925.25,0.8655,7,10,91,35,0.4118,0.0714,0.1217,0.2937,143
RT-DETR,2.05,487.1,0.8248,30,0,68,45,1.0,0.3061,0.4687,0.5245,143
Conditional DETR,1.04,959.09,0.7341,14,4,84,41,0.7778,0.1429,0.2414,0.3846,143
Deformable DETR,0.25,3947.86,0.7169,14,0,84,45,1.0,0.1429,0.25,0.4126,143
