Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,6.33,157.94,0.8391,0,0,0,165,0.0,0.0,0.0,1.0,165
SSD,12.26,81.59,0.6553,0,0,0,165,0.0,0.0,0.0,1.0,165
Faster R-CNN,0.62,1618.39,0.9651,0,0,0,165,0.0,0.0,0.0,1.0,165
RetinaNet,0.64,1573.11,0.8912,0,0,0,165,0.0,0.0,0.0,1.0,165
FCOS,0.71,1409.46,0.8232,0,0,0,165,0.0,0.0,0.0,1.0,165
EfficientDet,7.27,137.52,0.7071,0,0,0,165,0.0,0.0,0.0,1.0,165
DETR,1.1,905.96,0.9733,0,0,0,165,0.0,0.0,0.0,1.0,165
RT-DETR,2.04,490.29,0.9016,0,0,0,165,0.0,0.0,0.0,1.0,165
Conditional DETR,1.06,947.57,0.8575,0,0,0,165,0.0,0.0,0.0,1.0,165
Deformable DETR,0.25,3976.03,0.8612,0,0,0,165,0.0,0.0,0.0,1.0,165
