Video,Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
noite,YOLOv8,5.73,174.52,0.7631,6,0,92,45,1.0,0.0612,0.1154,0.3566,143
noite,SSD,14.14,70.74,0.809,0,0,98,45,0.0,0.0,0.0,0.3147,143
noite,Faster R-CNN,0.6,1657.62,0.892,12,24,86,21,0.3333,0.1224,0.1791,0.2308,143
noite,RetinaNet,0.64,1573.99,0.7594,0,11,98,34,0.0,0.0,0.0,0.2378,143
noite,FCOS,0.71,1399.56,0.683,18,3,80,42,0.8571,0.1837,0.3025,0.4196,143
noite,EfficientDet,6.58,152.04,0.6217,0,0,98,45,0.0,0.0,0.0,0.3147,143
noite,DETR,1.08,925.25,0.8655,7,10,91,35,0.4118,0.0714,0.1217,0.2937,143
noite,RT-DETR,2.05,487.1,0.8248,30,0,68,45,1.0,0.3061,0.4687,0.5245,143
noite,Conditional DETR,1.04,959.09,0.7341,14,4,84,41,0.7778,0.1429,0.2414,0.3846,143
noite,Deformable DETR,0.25,3947.86,0.7169,14,0,84,45,1.0,0.1429,0.25,0.4126,143
pedestres_cima,YOLOv8,6.33,157.94,0.8391,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,SSD,12.26,81.59,0.6553,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,Faster R-CNN,0.62,1618.39,0.9651,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,RetinaNet,0.64,1573.11,0.8912,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,FCOS,0.71,1409.46,0.8232,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,EfficientDet,7.27,137.52,0.7071,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,DETR,1.1,905.96,0.9733,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,RT-DETR,2.04,490.29,0.9016,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,Conditional DETR,1.06,947.57,0.8575,0,0,0,165,0.0,0.0,0.0,1.0,165
pedestres_cima,Deformable DETR,0.25,3976.03,0.8612,0,0,0,165,0.0,0.0,0.0,1.0,165
