Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,7.01,142.73,0.714,0,264,0,69,0.0,0.0,0.0,0.2072,333
SSD,13.9,71.95,0.5963,0,0,0,333,0.0,0.0,0.0,1.0,333
Faster R-CNN,0.67,1492.39,0.8913,0,289,0,44,0.0,0.0,0.0,0.1321,333
RetinaNet,0.68,1480.19,0.7914,0,289,0,44,0.0,0.0,0.0,0.1321,333
FCOS,0.75,1334.5,0.7186,0,289,0,44,0.0,0.0,0.0,0.1321,333
EfficientDet,7.36,135.91,0.6131,0,0,0,333,0.0,0.0,0.0,1.0,333
DETR,1.11,900.72,0.8871,0,289,0,44,0.0,0.0,0.0,0.1321,333
RT-DETR,2.07,483.43,0.8078,0,289,0,44,0.0,0.0,0.0,0.1321,333
Conditional DETR,1.06,941.1,0.7498,0,289,0,44,0.0,0.0,0.0,0.1321,333
Deformable DETR,0.26,3788.21,0.7561,0,288,0,45,0.0,0.0,0.0,0.1351,333
