Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,10.82,92.46,0.7928,0,50,0,105,0.0,0.0,0.0,0.6774,155
SSD,19.14,52.26,0.7596,0,34,0,121,0.0,0.0,0.0,0.7806,155
Faster R-CNN,0.69,1459.69,0.897,0,49,0,106,0.0,0.0,0.0,0.6839,155
RetinaNet,0.69,1453.36,0.851,0,46,0,109,0.0,0.0,0.0,0.7032,155
FCOS,0.76,1312.63,0.7366,0,41,0,114,0.0,0.0,0.0,0.7355,155
EfficientDet,7.55,132.44,0.6699,0,3,0,152,0.0,0.0,0.0,0.9806,155
DETR,1.12,893.25,0.8268,0,42,0,113,0.0,0.0,0.0,0.729,155
RT-DETR,2.31,432.86,0.8443,0,51,0,104,0.0,0.0,0.0,0.671,155
Conditional DETR,1.07,934.33,0.8121,0,47,0,108,0.0,0.0,0.0,0.6968,155
Deformable DETR,0.26,3774.74,0.7996,0,48,0,107,0.0,0.0,0.0,0.6903,155
