Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,10.94,91.43,0.7651,940,12,0,46,0.9874,1.0,0.9937,0.988,998
SSD,20.79,48.11,0.9043,848,2,92,56,0.9976,0.9021,0.9475,0.9058,998
Faster R-CNN,0.67,1484.74,0.9104,937,14,3,44,0.9853,0.9968,0.991,0.983,998
RetinaNet,0.68,1477.45,0.8034,940,11,0,47,0.9884,1.0,0.9942,0.989,998
FCOS,0.75,1340.86,0.7087,940,7,0,51,0.9926,1.0,0.9963,0.993,998
EfficientDet,7.5,133.31,0.7037,927,0,13,58,1.0,0.9862,0.993,0.987,998
DETR,1.1,905.64,0.9119,940,11,0,47,0.9884,1.0,0.9942,0.989,998
RT-DETR,2.32,431.45,0.8439,940,14,0,44,0.9853,1.0,0.9926,0.986,998
Conditional DETR,1.06,945.68,0.7577,940,14,0,44,0.9853,1.0,0.9926,0.986,998
Deformable DETR,0.26,3893.92,0.8044,940,14,0,44,0.9853,1.0,0.9926,0.986,998
