Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,6.7,149.32,0.6733,0,170,0,57,0.0,0.0,0.0,0.2511,227
SSD,12.1,82.65,0.6813,0,15,0,212,0.0,0.0,0.0,0.9339,227
Faster R-CNN,0.55,1807.81,0.9197,0,183,0,44,0.0,0.0,0.0,0.1938,227
RetinaNet,0.61,1633.1,0.7308,0,178,0,49,0.0,0.0,0.0,0.2159,227
FCOS,0.67,1485.73,0.6392,0,179,0,48,0.0,0.0,0.0,0.2115,227
EfficientDet,6.83,146.33,0.6193,0,124,0,103,0.0,0.0,0.0,0.4537,227
DETR,1.06,946.33,0.9157,0,175,0,52,0.0,0.0,0.0,0.2291,227
RT-DETR,1.94,515.97,0.6174,0,181,0,46,0.0,0.0,0.0,0.2026,227
Conditional DETR,1.05,949.4,0.5753,0,121,0,106,0.0,0.0,0.0,0.467,227
Deformable DETR,0.26,3916.78,0.5559,0,55,0,172,0.0,0.0,0.0,0.7577,227
