Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
YOLOv8,8.91,112.27,0.7569,444,208,46,15,0.681,0.9061,0.7776,0.6438,713
SSD,16.46,60.75,0.8079,243,0,247,223,1.0,0.4959,0.663,0.6536,713
Faster R-CNN,0.62,1614.36,0.8916,424,222,66,1,0.6563,0.8653,0.7465,0.5961,713
RetinaNet,0.64,1557.82,0.7596,430,222,60,1,0.6595,0.8776,0.7531,0.6045,713
FCOS,0.72,1391.94,0.6836,441,222,49,1,0.6652,0.9,0.765,0.6199,713
EfficientDet,6.93,144.28,0.6196,141,144,349,79,0.4947,0.2878,0.3639,0.3086,713
DETR,1.11,902.12,0.8658,435,211,55,12,0.6734,0.8878,0.7658,0.6269,713
RT-DETR,2.11,474.34,0.8144,445,222,45,1,0.6672,0.9082,0.7692,0.6255,713
Conditional DETR,1.02,984.07,0.7344,436,209,54,14,0.676,0.8898,0.7683,0.6311,713
Deformable DETR,0.24,4122.69,0.7186,442,222,48,1,0.6657,0.902,0.766,0.6213,713
