Video,Modelo,FPS_medio,Tempo_medio_ms,Confianca_media,TP,FP,FN,TN,Precisao,Recall,F1,Acuracia,Total_frames
atras,YOLOv8,6.89,145.12,0.6827,57,870,0,353,0.0615,1.0,0.1159,0.3203,1280
atras,SSD,14.7,68.02,0.6635,0,0,57,1223,0.0,0.0,0.0,0.9555,1280
atras,Faster R-CNN,0.67,1499.76,0.8727,57,776,0,447,0.0684,1.0,0.1281,0.3937,1280
atras,RetinaNet,0.67,1492.26,0.73,57,719,0,504,0.0735,1.0,0.1369,0.4383,1280
atras,FCOS,0.75,1338.22,0.6689,57,829,0,394,0.0643,1.0,0.1209,0.3523,1280
atras,EfficientDet,7.38,135.54,0.6297,57,183,0,1040,0.2375,1.0,0.3838,0.857,1280
atras,DETR,1.1,907.2,0.9075,57,901,0,322,0.0595,1.0,0.1123,0.2961,1280
atras,RT-DETR,2.08,480.96,0.794,57,1076,0,147,0.0503,1.0,0.0958,0.1594,1280
atras,Conditional DETR,1.06,942.78,0.6708,57,834,0,389,0.064,1.0,0.1203,0.3484,1280
atras,Deformable DETR,0.26,3790.1,0.7134,57,871,0,352,0.0614,1.0,0.1157,0.3195,1280
italia,YOLOv8,7.01,142.73,0.714,0,264,0,69,0.0,0.0,0.0,0.2072,333
italia,SSD,13.9,71.95,0.5963,0,0,0,333,0.0,0.0,0.0,1.0,333
italia,Faster R-CNN,0.67,1492.39,0.8913,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,RetinaNet,0.68,1480.19,0.7914,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,FCOS,0.75,1334.5,0.7186,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,EfficientDet,7.36,135.91,0.6131,0,0,0,333,0.0,0.0,0.0,1.0,333
italia,DETR,1.11,900.72,0.8871,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,RT-DETR,2.07,483.43,0.8078,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,Conditional DETR,1.06,941.1,0.7498,0,289,0,44,0.0,0.0,0.0,0.1321,333
italia,Deformable DETR,0.26,3788.21,0.7561,0,288,0,45,0.0,0.0,0.0,0.1351,333
manos,YOLOv8,10.82,92.46,0.7928,0,50,0,105,0.0,0.0,0.0,0.6774,155
manos,SSD,19.14,52.26,0.7596,0,34,0,121,0.0,0.0,0.0,0.7806,155
manos,Faster R-CNN,0.69,1459.69,0.897,0,49,0,106,0.0,0.0,0.0,0.6839,155
manos,RetinaNet,0.69,1453.36,0.851,0,46,0,109,0.0,0.0,0.0,0.7032,155
manos,FCOS,0.76,1312.63,0.7366,0,41,0,114,0.0,0.0,0.0,0.7355,155
manos,EfficientDet,7.55,132.44,0.6699,0,3,0,152,0.0,0.0,0.0,0.9806,155
manos,DETR,1.12,893.25,0.8268,0,42,0,113,0.0,0.0,0.0,0.729,155
manos,RT-DETR,2.31,432.86,0.8443,0,51,0,104,0.0,0.0,0.0,0.671,155
manos,Conditional DETR,1.07,934.33,0.8121,0,47,0,108,0.0,0.0,0.0,0.6968,155
manos,Deformable DETR,0.26,3774.74,0.7996,0,48,0,107,0.0,0.0,0.0,0.6903,155
mulher,YOLOv8,10.94,91.43,0.7651,940,12,0,46,0.9874,1.0,0.9937,0.988,998
mulher,SSD,20.79,48.11,0.9043,848,2,92,56,0.9976,0.9021,0.9475,0.9058,998
mulher,Faster R-CNN,0.67,1484.74,0.9104,937,14,3,44,0.9853,0.9968,0.991,0.983,998
mulher,RetinaNet,0.68,1477.45,0.8034,940,11,0,47,0.9884,1.0,0.9942,0.989,998
mulher,FCOS,0.75,1340.86,0.7087,940,7,0,51,0.9926,1.0,0.9963,0.993,998
mulher,EfficientDet,7.5,133.31,0.7037,927,0,13,58,1.0,0.9862,0.993,0.987,998
mulher,DETR,1.1,905.64,0.9119,940,11,0,47,0.9884,1.0,0.9942,0.989,998
mulher,RT-DETR,2.32,431.45,0.8439,940,14,0,44,0.9853,1.0,0.9926,0.986,998
mulher,Conditional DETR,1.06,945.68,0.7577,940,14,0,44,0.9853,1.0,0.9926,0.986,998
mulher,Deformable DETR,0.26,3893.92,0.8044,940,14,0,44,0.9853,1.0,0.9926,0.986,998
multiplos_pedestres,YOLOv8,6.7,149.32,0.6733,0,170,0,57,0.0,0.0,0.0,0.2511,227
multiplos_pedestres,SSD,12.1,82.65,0.6813,0,15,0,212,0.0,0.0,0.0,0.9339,227
